first_to_last_event_hours,event_Account History Transaction Details,event_Account Setup Profile Skip,event_Account Setup Skip,event_Add Payment Method Failed,event_Calculator Used,event_Calculator View,event_Chat Conversation Started,event_Email Confirmation Success,event_NonPremium_order,event_Premium_order,event_Subscription Premium,event_Subscription Premium Cancel,event_Subscription Premium Renew,event_Transaction Refund,event_Wallet Opened,event_add_vehicle_permanently,event_add_vehicle_temporary,event_chat_opened_from_,event_chat_opened_from_Dashboard,event_chat_opened_from_Deeplink,event_chat_opened_from_Menu,event_chat_opened_from_Transaction Details,event_payment_method_added_Credit,event_payment_method_added_Debit,event_payment_method_added_PayPal,event_payment_method_added_Venmo,event_sign_out_Auto,event_sign_out_Manual,Apple,Google,Other,samsung,signed_up_before2022,sign_up_Apple,sign_up_Email,sign_up_Facebook,sign_up_Google,no_card_added,didnt_try_adding_vehicle,gave_up_adding_vehicle,subscribed_for_1_month_only
726,2,0,0,0,0,0,0,0,0,0,1,0,1,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
403,0,0,0,0,0,0,0,0,0,3,1,0,0,0.0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
17,0,0,0,0,0,0,1,0,0,0,1,0,0,0.0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
1393,0,0,0,1,0,0,0,1,0,0,1,0,2,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
661,2,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
721,0,0,1,0,0,0,1,1,0,0,1,0,1,0.0,0,1,0,0,0,0,10,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
713,0,0,0,0,0,0,1,0,0,0,1,0,1,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
70,2,0,0,0,0,2,1,1,0,0,1,1,0,0.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
1395,1,0,0,0,0,0,0,1,0,2,1,0,2,0.0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
994,0,0,0,0,0,0,0,1,0,6,1,0,0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
4,5,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
110,0,0,0,0,0,1,0,0,0,0,1,1,0,0.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
375,4,0,0,0,0,0,0,0,0,2,1,1,0,0.0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
264,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
29,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
762,0,0,0,0,0,0,1,0,0,0,1,1,0,0.0,1,1,0,0,0,10,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
2061,2,0,0,0,0,0,0,0,0,128,1,0,1,0.0,2,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0
39,0,1,0,0,0,3,1,0,0,0,1,0,0,0.0,4,1,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
220,0,0,0,0,0,3,1,0,0,1,1,0,0,0.0,3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
235,5,1,0,0,0,0,0,0,1,0,1,0,0,0.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
857,2,1,0,0,0,0,0,0,0,0,1,0,0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
111,0,0,0,0,0,0,1,0,0,2,1,1,0,0.0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
1554,0,0,0,0,0,0,0,0,0,51,1,0,0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
841,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,7,1,0,0,0,0,1,0,0,0,0,0,0,0
607,0,0,0,0,0,2,0,1,0,129,1,0,0,0.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
1146,0,0,0,0,0,0,0,1,0,14,1,0,1,0.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1116,9,0,0,0,0,0,0,0,0,0,1,0,0,0.0,6,2,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1
656,5,0,0,0,0,2,0,1,0,4,1,0,1,0.0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
788,1,0,0,0,0,1,1,1,0,0,1,1,0,0.0,1,1,0,0,0,0,3,1,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
782,5,0,0,0,0,0,0,0,0,0,1,0,0,0.0,2,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1
574,1,0,1,0,0,0,1,0,0,1,1,1,0,0.0,5,1,0,0,0,0,5,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
719,15,0,0,1,0,0,0,0,0,3,1,0,1,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
722,1,0,0,0,0,0,0,0,0,60,1,0,0,0.0,1,1,0,0,0,0,0,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
610,1,0,0,0,0,4,1,1,0,5,1,1,0,0.0,3,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
118,0,0,0,0,6,7,0,0,0,0,1,0,0,0.0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
1238,5,0,0,2,0,1,1,0,1,0,1,1,0,29.990000000000002,5,1,0,2,0,0,8,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
1375,1,0,0,0,0,0,0,1,2,2,1,0,0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
495,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
1226,1,0,0,0,0,0,3,0,0,0,1,1,1,0.0,3,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
765,3,0,0,0,0,1,1,1,0,0,1,0,1,0.0,4,1,0,0,0,0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1168,4,0,0,0,0,0,10,0,0,0,1,1,0,0.0,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
39,0,0,0,1,0,0,0,0,0,2,1,0,0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
487,1,0,0,0,0,1,1,0,0,0,1,1,0,0.0,3,1,0,0,0,0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,1,0,0,1,0,0,0,1,0,0,0.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
265,1,0,0,0,0,0,1,1,0,0,1,1,0,20.0,1,2,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
797,3,0,0,0,0,1,1,0,0,0,1,0,0,0.0,1,1,0,0,0,0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
1150,3,0,0,0,0,3,3,1,0,0,1,1,0,0.0,9,1,0,0,8,0,6,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
648,0,0,0,0,0,0,0,0,0,2,1,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
1028,8,0,0,0,0,5,0,0,0,0,1,0,0,0.0,24,1,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
1086,0,1,0,0,0,1,0,0,0,0,1,0,0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1
849,5,0,0,0,0,0,1,0,4,9,1,0,0,0.0,0,1,0,0,0,0,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
19,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
537,0,0,0,0,0,0,0,1,0,48,1,0,0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
654,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
717,0,0,0,0,0,0,0,0,0,14,1,0,1,0.0,3,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
730,1,0,0,0,0,0,12,1,0,0,1,1,0,0.0,1,1,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
715,3,0,0,0,0,0,0,0,1,12,1,0,0,0.0,5,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
1870,5,0,0,0,0,1,2,0,0,5,1,1,1,0.0,5,1,0,0,0,0,1,1,0,1,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0
115,0,0,0,0,0,0,0,1,0,1,1,0,0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
541,1,0,0,0,0,0,0,0,0,1,1,0,0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
450,2,0,0,0,0,1,1,0,0,0,1,0,0,0.0,0,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
0,1,0,0,3,0,1,0,0,0,0,1,0,0,0.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
741,5,0,0,0,0,0,0,0,0,5,1,0,1,0.0,3,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
922,0,0,0,0,0,0,0,0,0,2,1,0,0,0.0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
1097,4,0,0,0,0,1,0,0,0,3,1,0,1,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
84,3,0,0,0,0,1,1,0,0,0,1,0,0,0.0,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
37,3,0,0,0,1,1,0,0,0,2,1,0,0,0.0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
1781,16,0,0,0,2,1,0,1,0,6,1,0,1,0.0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
776,1,0,0,0,0,1,1,1,0,1,1,0,0,0.0,1,0,1,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
118,2,0,0,1,0,0,0,0,0,0,1,1,0,0.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
1337,4,0,0,0,0,0,0,1,0,12,1,0,0,0.0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
407,5,0,0,0,0,1,1,0,0,1,1,0,0,0.0,7,1,0,0,4,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
1166,1,0,0,0,0,0,0,0,0,2,1,0,1,0.0,3,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
1142,0,0,0,0,0,0,6,0,0,0,1,1,0,0.0,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
362,4,0,0,0,0,0,10,0,0,0,1,0,0,0.0,3,3,0,0,0,0,8,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
93,2,0,0,0,0,2,2,0,0,0,1,1,0,0.0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
773,9,0,0,0,0,1,1,1,3,1,1,1,0,0.0,2,1,0,0,3,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
1701,27,0,0,0,0,0,0,0,0,72,1,0,0,0.0,46,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
782,0,0,0,0,0,0,1,0,0,0,1,1,0,0.0,1,1,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
782,5,0,0,0,0,0,1,0,0,0,1,1,1,0.0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
60,0,0,0,0,0,0,0,0,0,2,1,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
650,0,0,0,0,0,0,0,1,0,1,1,0,1,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
648,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
386,3,0,0,1,0,0,0,0,1,2,1,0,0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
34,1,0,0,0,0,1,0,0,0,1,1,0,0,0.0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
528,13,0,0,0,10,4,0,0,0,2,1,0,0,0.0,1,2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
195,1,0,0,0,0,0,0,0,0,2,1,1,0,0.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,0,1,1,0,0,0,0,1,0,0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
1843,3,0,0,0,0,0,0,1,1,19,1,0,1,0.0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
291,1,0,0,0,0,0,2,1,0,0,1,1,0,0.0,1,0,1,0,0,0,4,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
654,3,0,0,1,0,0,0,0,0,0,1,0,0,0.0,0,3,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
1524,5,0,0,0,0,0,0,0,0,0,1,0,2,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1089,3,1,0,0,0,0,0,0,0,4,1,0,1,0.0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1813,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
1215,4,1,0,0,0,0,1,0,0,7,1,1,0,34.29,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
1436,0,0,0,0,0,0,0,0,0,5,1,0,0,0.0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
824,4,0,0,0,0,0,1,0,0,1,1,1,0,0.0,3,1,0,0,1,0,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
138,1,0,0,0,0,1,1,1,0,1,1,1,0,0.0,4,1,0,0,0,1,3,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
905,4,0,0,0,0,0,0,0,0,4,1,0,1,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
144,1,0,0,0,0,1,1,0,0,0,1,1,0,50.0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
626,17,0,0,0,0,3,0,0,0,2,1,0,0,0.0,6,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
938,0,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0
900,1,0,0,0,1,1,0,0,0,23,1,0,1,0.0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
23,1,0,0,0,0,1,0,1,0,0,1,0,0,0.0,2,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
1396,0,0,0,0,0,0,0,0,0,0,1,0,2,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
49,1,0,0,0,0,0,8,0,0,0,1,1,0,0.0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
1395,1,0,0,0,0,1,0,0,0,12,1,0,0,0.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
712,0,0,0,0,0,0,1,0,0,5,1,1,0,0.0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
1666,2,0,0,0,0,1,1,0,0,0,1,0,1,0.0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
24,0,0,0,2,0,0,0,1,0,0,1,0,0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
1949,33,0,0,0,0,2,12,0,0,96,1,0,1,0.0,1,4,0,0,0,0,4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
100,5,1,0,3,0,0,0,1,0,3,1,0,0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
14,0,0,0,1,0,2,0,0,0,0,1,0,0,0.0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
